sample_idx,token,gold_coarse,gold_name,upos
122,other,2,ADJ,ADJ
1530,good,2,ADJ,ADJ
419,new,2,ADJ,ADJ
1876,more,2,ADJ,ADJ
388,many,2,ADJ,ADJ
7339,great,2,ADJ,ADJ
473,same,2,ADJ,ADJ
1450,best,2,ADJ,ADJ
608,last,2,ADJ,ADJ
7384,sure,2,ADJ,ADJ
693,few,2,ADJ,ADJ
1523,little,2,ADJ,ADJ
412,United,2,ADJ,ADJ
741,first,2,ADJ,ADJ
4793,next,2,ADJ,ADJ
1986,much,2,ADJ,ADJ
1087,own,2,ADJ,ADJ
458,better,2,ADJ,ADJ
4025,New,2,ADJ,ADJ
2,American,2,ADJ,ADJ
423,old,2,ADJ,ADJ
2028,able,2,ADJ,ADJ
3012,such,2,ADJ,ADJ
8129,long,2,ADJ,ADJ
363,small,2,ADJ,ADJ
1984,least,2,ADJ,ADJ
1065,different,2,ADJ,ADJ
6480,possible,2,ADJ,ADJ
764,most,2,ADJ,ADJ
5735,bad,2,ADJ,ADJ
2063,free,2,ADJ,ADJ
21252,nice,2,ADJ,ADJ
382,National,2,ADJ,ADJ
3704,only,2,ADJ,ADJ
1640,military,2,ADJ,ADJ
1209,real,2,ADJ,ADJ
5070,full,2,ADJ,ADJ
507,several,2,ADJ,ADJ
149,big,2,ADJ,ADJ
1867,Indian,2,ADJ,ADJ
12765,due,2,ADJ,ADJ
44191,Great,2,ADJ,ADJ
59,high,2,ADJ,ADJ
17451,available,2,ADJ,ADJ
22294,helpful,2,ADJ,ADJ
26,Iraqi,2,ADJ,ADJ
1700,right,2,ADJ,ADJ
4390,happy,2,ADJ,ADJ
5492,important,2,ADJ,ADJ
10684,friendly,2,ADJ,ADJ
1021,whole,2,ADJ,ADJ
1952,hard,2,ADJ,ADJ
7359,excellent,2,ADJ,ADJ
1220,former,2,ADJ,ADJ
1239,early,2,ADJ,ADJ
1754,political,2,ADJ,ADJ
2092,international,2,ADJ,ADJ
24843,Best,2,ADJ,ADJ
18171,easy,2,ADJ,ADJ
5411,fine,2,ADJ,ADJ
5412,young,2,ADJ,ADJ
7740,large,2,ADJ,ADJ
4272,second,2,ADJ,ADJ
358,legal,2,ADJ,ADJ
581,open,2,ADJ,ADJ
5400,natural,2,ADJ,ADJ
21233,Good,2,ADJ,ADJ
1213,certain,2,ADJ,ADJ
1424,interested,2,ADJ,ADJ
1850,strong,2,ADJ,ADJ
2091,local,2,ADJ,ADJ
195,main,2,ADJ,ADJ
430,recent,2,ADJ,ADJ
1854,final,2,ADJ,ADJ
4084,human,2,ADJ,ADJ
1621,close,2,ADJ,ADJ
1674,major,2,ADJ,ADJ
2124,likely,2,ADJ,ADJ
2925,late,2,ADJ,ADJ
11230,global,2,ADJ,ADJ
13745,Egyptian,2,ADJ,ADJ
259,dead,2,ADJ,ADJ
717,public,2,ADJ,ADJ
5193,entire,2,ADJ,ADJ
15387,professional,2,ADJ,ADJ
976,Islamic,2,ADJ,ADJ
10063,short,2,ADJ,ADJ
298,Arab,2,ADJ,ADJ
2560,less,2,ADJ,ADJ
3416,ready,2,ADJ,ADJ
3813,special,2,ADJ,ADJ
7959,amazing,2,ADJ,ADJ
10013,wrong,2,ADJ,ADJ
14460,poor,2,ADJ,ADJ
29235,wonderful,2,ADJ,ADJ
1711,religious,2,ADJ,ADJ
8119,black,2,ADJ,ADJ
13761,personal,2,ADJ,ADJ
29045,clean,2,ADJ,ADJ
1178,Many,2,ADJ,ADJ
49,so,3,ADV,ADV
802,just,3,ADV,ADV
582,when,3,ADV,ADV
109,very,3,ADV,ADV
227,also,3,ADV,ADV
455,only,3,ADV,ADV
547,now,3,ADV,ADV
849,there,3,ADV,ADV
1060,even,3,ADV,ADV
1681,as,3,ADV,ADV
469,then,3,ADV,ADV
663,how,3,ADV,ADV
1337,well,3,ADV,ADV
505,still,3,ADV,ADV
64,back,3,ADV,ADV
311,more,3,ADV,ADV
623,really,3,ADV,ADV
4925,here,3,ADV,ADV
580,out,3,ADV,ADV
522,never,3,ADV,ADV
114,too,3,ADV,ADV
524,where,3,ADV,ADV
501,again,3,ADV,ADV
4028,always,3,ADV,ADV
728,already,3,ADV,ADV
115,much,3,ADV,ADV
1051,most,3,ADV,ADV
1559,in,3,ADV,ADV
806,So,3,ADV,ADV
10929,When,3,ADV,ADV
1612,about,3,ADV,ADV
7422,How,3,ADV,ADV
5065,else,3,ADV,ADV
1324,up,3,ADV,ADV
564,ever,3,ADV,ADV
92,probably,3,ADV,ADV
5758,all,3,ADV,ADV
9029,Also,3,ADV,ADV
1875,far,3,ADV,ADV
2061,away,3,ADV,ADV
2007,actually,3,ADV,ADV
3763,soon,3,ADV,ADV
853,over,3,ADV,ADV
3540,first,3,ADV,ADV
14296,right,3,ADV,ADV
4219,long,3,ADV,ADV
2446,on,3,ADV,ADV
7376,pretty,3,ADV,ADV
11476,down,3,ADV,ADV
1254,However,3,ADV,ADV
13075,why,3,ADV,ADV
399,however,3,ADV,ADV
1039,together,3,ADV,ADV
1267,Here,3,ADV,ADV
21853,below,3,ADV,ADV
371,highly,3,ADV,ADV
1561,almost,3,ADV,ADV
805,ago,3,ADV,ADV
4817,yet,3,ADV,ADV
4822,around,3,ADV,ADV
440,Now,3,ADV,ADV
767,later,3,ADV,ADV
894,once,3,ADV,ADV
6464,forward,3,ADV,ADV
768,though,3,ADV,ADV
2875,often,3,ADV,ADV
3685,currently,3,ADV,ADV
5558,Just,3,ADV,ADV
4633,especially,3,ADV,ADV
5326,Then,3,ADV,ADV
3130,enough,3,ADV,ADV
5714,quite,3,ADV,ADV
5873,extremely,3,ADV,ADV
7313,definitely,3,ADV,ADV
6812,instead,3,ADV,ADV
9006,before,3,ADV,ADV
12240,usually,3,ADV,ADV
2588,recently,3,ADV,ADV
637,Even,3,ADV,ADV
1929,simply,3,ADV,ADV
2525,better,3,ADV,ADV
5160,earlier,3,ADV,ADV
1916,less,3,ADV,ADV
2019,quickly,3,ADV,ADV
6323,rather,3,ADV,ADV
6648,maybe,3,ADV,ADV
407,no,3,ADV,ADV
13113,fully,3,ADV,ADV
165,home,3,ADV,ADV
4126,perhaps,3,ADV,ADV
408,longer,3,ADV,ADV
1683,nearly,3,ADV,ADV
1961,further,3,ADV,ADV
385,hard,3,ADV,ADV
5081,immediately,3,ADV,ADV
10802,sometimes,3,ADV,ADV
13989,along,3,ADV,ADV
31141,properly,3,ADV,ADV
2570,twice,3,ADV,ADV
18319,somewhere,3,ADV,ADV
45,is,1,AUX,AUX
19,be,1,AUX,AUX
186,are,1,AUX,AUX
67,was,1,AUX,AUX
18,will,1,AUX,AUX
620,can,1,AUX,AUX
247,have,1,AUX,AUX
51,would,1,AUX,AUX
101,do,1,AUX,AUX
394,has,1,AUX,AUX
248,been,1,AUX,AUX
812,'s,1,AUX,AUX
37,were,1,AUX,AUX
174,could,1,AUX,AUX
471,should,1,AUX,AUX
6646,am,1,AUX,AUX
1104,may,1,AUX,AUX
1576,'m,1,AUX,AUX
468,did,1,AUX,AUX
6642,'ll,1,AUX,AUX
38,being,1,AUX,AUX
30,had,1,AUX,AUX
659,does,1,AUX,AUX
6890,'ve,1,AUX,AUX
10707,'re,1,AUX,AUX
1479,Do,1,AUX,AUX
526,might,1,AUX,AUX
2486,ca,1,AUX,AUX
11843,s,1,AUX,AUX
2277,Can,1,AUX,AUX
1342,must,1,AUX,AUX
6583,'d,1,AUX,AUX
415,wo,1,AUX,AUX
7435,Is,1,AUX,AUX
13278,Are,1,AUX,AUX
13899,shall,1,AUX,AUX
25945,IS,1,AUX,AUX
8619,Should,1,AUX,AUX
21094,Will,1,AUX,AUX
7423,Would,1,AUX,AUX
51200,m,1,AUX,AUX
13290,Does,1,AUX,AUX
2764,Have,1,AUX,AUX
5215,Did,1,AUX,AUX
22394,get,1,AUX,AUX
28588,Could,1,AUX,AUX
5473,’s,1,AUX,AUX
26329,DO,1,AUX,AUX
30731,r,1,AUX,AUX
23695,`s,1,AUX,AUX
29185,Be,1,AUX,AUX
69589,ve,1,AUX,AUX
342,having,1,AUX,AUX
13513,Has,1,AUX,AUX
29865,getting,1,AUX,AUX
1356,Being,1,AUX,AUX
10813,got,1,AUX,AUX
60657,where,1,AUX,AUX
7322,ai,1,AUX,AUX
7443,CAN,1,AUX,AUX
40888,May,1,AUX,AUX
71353,re,1,AUX,AUX
90623,WAS,1,AUX,AUX
91488,WOULD,1,AUX,AUX
93967,WILL,1,AUX,AUX
95209,Might,1,AUX,AUX
100318,ARE,1,AUX,AUX
12813,wilt,1,AUX,AUX
24363,Am,1,AUX,AUX
29416,Must,1,AUX,AUX
30743,gets,1,AUX,AUX
38091,Ca,1,AUX,AUX
71315,ar,1,AUX,AUX
73644,ll,1,AUX,AUX
82254,Was,1,AUX,AUX
84138,MUST,1,AUX,AUX
91489,BE,1,AUX,AUX
98127,CA,1,AUX,AUX
13791,Shall,1,AUX,AUX
30738,woud,1,AUX,AUX
33218,Having,1,AUX,AUX
39607,iis,1,AUX,AUX
51307,hav,1,AUX,AUX
56288,SHOULD,1,AUX,AUX
58431,'S,1,AUX,AUX
63005,art,1,AUX,AUX
69309,se,1,AUX,AUX
69871,wud,1,AUX,AUX
71299,v,1,AUX,AUX
72087,hvae,1,AUX,AUX
72806,Woud,1,AUX,AUX
74502,it,1,AUX,AUX
75920,willl,1,AUX,AUX
76655,with,1,AUX,AUX
77114,wil,1,AUX,AUX
79519,in,1,AUX,AUX
81102,most,1,AUX,AUX
81281,’m,1,AUX,AUX
81294,’ve,1,AUX,AUX
82773,a,1,AUX,AUX
737,time,0,NOUN,NOUN
446,people,0,NOUN,NOUN
164,way,0,NOUN,NOUN
14068,Thanks,0,NOUN,NOUN
609,year,0,NOUN,NOUN
723,place,0,NOUN,NOUN
23,years,0,NOUN,NOUN
1024,day,0,NOUN,NOUN
754,food,0,NOUN,NOUN
4878,service,0,NOUN,NOUN
10171,PM,0,NOUN,NOUN
1022,world,0,NOUN,NOUN
546,days,0,NOUN,NOUN
151,number,0,NOUN,NOUN
313,work,0,NOUN,NOUN
4489,price,0,NOUN,NOUN
251,week,0,NOUN,NOUN
4616,business,0,NOUN,NOUN
1353,lot,0,NOUN,NOUN
364,one,0,NOUN,NOUN
22923,AM,0,NOUN,NOUN
66643,Number,0,NOUN,NOUN
6384,family,0,NOUN,NOUN
2072,money,0,NOUN,NOUN
2505,name,0,NOUN,NOUN
23875,call,0,NOUN,NOUN
2300,questions,0,NOUN,NOUN
9843,life,0,NOUN,NOUN
7663,water,0,NOUN,NOUN
836,thing,0,NOUN,NOUN
4278,end,0,NOUN,NOUN
1753,power,0,NOUN,NOUN
736,things,0,NOUN,NOUN
533,night,0,NOUN,NOUN
10281,job,0,NOUN,NOUN
203,country,0,NOUN,NOUN
353,office,0,NOUN,NOUN
1245,information,0,NOUN,NOUN
9037,point,0,NOUN,NOUN
929,group,0,NOUN,NOUN
2046,problem,0,NOUN,NOUN
6082,horse,0,NOUN,NOUN
8781,meeting,0,NOUN,NOUN
10961,today,0,NOUN,NOUN
66744,Percentage,0,NOUN,NOUN
18883,company,0,NOUN,NOUN
2151,experience,0,NOUN,NOUN
169,car,0,NOUN,NOUN
411,list,0,NOUN,NOUN
990,case,0,NOUN,NOUN
7981,oil,0,NOUN,NOUN
465,person,0,NOUN,NOUN
607,war,0,NOUN,NOUN
20126,home,0,NOUN,NOUN
108,government,0,NOUN,NOUN
2468,part,0,NOUN,NOUN
11450,letter,0,NOUN,NOUN
9541,month,0,NOUN,NOUN
12099,bit,0,NOUN,NOUN
1156,times,0,NOUN,NOUN
585,area,0,NOUN,NOUN
11453,email,0,NOUN,NOUN
431,months,0,NOUN,NOUN
1119,report,0,NOUN,NOUN
1303,state,0,NOUN,NOUN
3635,fact,0,NOUN,NOUN
8977,message,0,NOUN,NOUN
10042,system,0,NOUN,NOUN
27268,Amount,0,NOUN,NOUN
20660,staff,0,NOUN,NOUN
1953,line,0,NOUN,NOUN
5635,date,0,NOUN,NOUN
10658,house,0,NOUN,NOUN
26279,space,0,NOUN,NOUN
878,children,0,NOUN,NOUN
1302,change,0,NOUN,NOUN
1857,issue,0,NOUN,NOUN
16173,couple,0,NOUN,NOUN
1803,hand,0,NOUN,NOUN
1905,process,0,NOUN,NOUN
4796,friends,0,NOUN,NOUN
17260,places,0,NOUN,NOUN
61,members,0,NOUN,NOUN
2313,question,0,NOUN,NOUN
10321,phone,0,NOUN,NOUN
14343,gas,0,NOUN,NOUN
57116,cat,0,NOUN,NOUN
4034,help,0,NOUN,NOUN
5133,hours,0,NOUN,NOUN
22019,room,0,NOUN,NOUN
835,friend,0,NOUN,NOUN
2353,comments,0,NOUN,NOUN
2547,security,0,NOUN,NOUN
2935,deal,0,NOUN,NOUN
3328,agreement,0,NOUN,NOUN
9278,issues,0,NOUN,NOUN
658,tank,0,NOUN,NOUN
2114,mind,0,NOUN,NOUN
2276,others,0,NOUN,NOUN
10938,death,0,NOUN,NOUN
100,I,0,PRON,PRON
521,you,0,PRON,PRON
309,it,0,PRON,PRON
257,that,0,PRON,PRON
29,they,0,PRON,PRON
1086,your,0,PRON,PRON
367,my,0,PRON,PRON
75,he,0,PRON,PRON
619,we,0,PRON,PRON
113,me,0,PRON,PRON
79,his,0,PRON,PRON
163,their,0,PRON,PRON
111,It,0,PRON,PRON
118,who,0,PRON,PRON
36,them,0,PRON,PRON
50,this,0,PRON,PRON
610,which,0,PRON,PRON
134,him,0,PRON,PRON
552,our,0,PRON,PRON
704,what,0,PRON,PRON
1056,We,0,PRON,PRON
11848,i,0,PRON,PRON
146,there,0,PRON,PRON
226,They,0,PRON,PRON
73,You,0,PRON,PRON
10288,her,0,PRON,PRON
405,He,0,PRON,PRON
467,she,0,PRON,PRON
1907,its,0,PRON,PRON
21,us,0,PRON,PRON
529,There,0,PRON,PRON
539,My,0,PRON,PRON
294,This,0,PRON,PRON
769,What,0,PRON,PRON
432,something,0,PRON,PRON
4944,anyone,0,PRON,PRON
653,anything,0,PRON,PRON
3929,She,0,PRON,PRON
643,those,0,PRON,PRON
1475,That,0,PRON,PRON
460,someone,0,PRON,PRON
618,nothing,0,PRON,PRON
21686,Your,0,PRON,PRON
5064,everything,0,PRON,PRON
2139,one,0,PRON,PRON
11371,everyone,0,PRON,PRON
10910,Our,0,PRON,PRON
9886,yourself,0,PRON,PRON
238,His,0,PRON,PRON
7428,YOU,0,PRON,PRON
2905,themselves,0,PRON,PRON
3011,itself,0,PRON,PRON
9236,Their,0,PRON,PRON
25972,myself,0,PRON,PRON
5007,mine,0,PRON,PRON
921,himself,0,PRON,PRON
1632,These,0,PRON,PRON
1689,whom,0,PRON,PRON
1345,whose,0,PRON,PRON
2178,'s,0,PRON,PRON
10963,these,0,PRON,PRON
1796,whatever,0,PRON,PRON
26350,IT,0,PRON,PRON
14939,Who,0,PRON,PRON
13090,Everything,0,PRON,PRON
23693,Yo,0,PRON,PRON
2959,Its,0,PRON,PRON
4106,none,0,PRON,PRON
10334,everybody,0,PRON,PRON
11902,it's,0,PRON,PRON
19179,Her,0,PRON,PRON
7438,YOUR,0,PRON,PRON
10580,somebody,0,PRON,PRON
12349,Which,0,PRON,PRON
45255,ourselves,0,PRON,PRON
673,Everyone,0,PRON,PRON
4966,anybody,0,PRON,PRON
8701,Nobody,0,PRON,PRON
11387,Those,0,PRON,PRON
72385,the,0,PRON,PRON
33625,s,0,PRON,PRON
79488,THEY,0,PRON,PRON
817,Me,0,PRON,PRON
25944,SHE,0,PRON,PRON
26859,yours,0,PRON,PRON
27969,ours,0,PRON,PRON
39303,Anything,0,PRON,PRON
47740,Anyone,0,PRON,PRON
56284,THAT,0,PRON,PRON
57693,THIS,0,PRON,PRON
71328,u,0,PRON,PRON
76131,Nothing,0,PRON,PRON
12585,thy,0,PRON,PRON
15723,herself,0,PRON,PRON
20545,Whatever,0,PRON,PRON
22232,WHO,0,PRON,PRON
22234,WHAT,0,PRON,PRON
26543,Everybody,0,PRON,PRON
57975,ME,0,PRON,PRON
69841,ur,0,PRON,PRON
1935,Bush,0,PROPN,PROPN
47,US,0,PROPN,PROPN
44,Iraq,0,PROPN,PROPN
21254,Enron,0,PROPN,PROPN
3048,Iran,0,PROPN,PROPN
0,Al,0,PROPN,PROPN
4244,China,0,PROPN,PROPN
1652,States,0,PROPN,PROPN
1852,India,0,PROPN,PROPN
2148,John,0,PROPN,PROPN
972,Qaeda,0,PROPN,PROPN
2143,George,0,PROPN,PROPN
278,Friday,0,PROPN,PROPN
1607,Pakistan,0,PROPN,PROPN
2820,May,0,PROPN,PROPN
2576,September,0,PROPN,PROPN
10206,Mr.,0,PROPN,PROPN
679,April,0,PROPN,PROPN
583,Americans,0,PROPN,PROPN
18065,Dr.,0,PROPN,PROPN
5342,July,0,PROPN,PROPN
7206,Monday,0,PROPN,PROPN
12389,Jeff,0,PROPN,PROPN
1598,Zawahiri,0,PROPN,PROPN
2216,President,0,PROPN,PROPN
21138,Sara,0,PROPN,PROPN
21741,Houston,0,PROPN,PROPN
1734,Afghanistan,0,PROPN,PROPN
48991,NASA,0,PROPN,PROPN
1886,Israel,0,PROPN,PROPN
2199,Texas,0,PROPN,PROPN
7,al,0,PROPN,PROPN
1653,Taliban,0,PROPN,PROPN
3067,March,0,PROPN,PROPN
7421,Paul,0,PROPN,PROPN
2713,June,0,PROPN,PROPN
11065,Mike,0,PROPN,PROPN
21947,Mark,0,PROPN,PROPN
22246,St.,0,PROPN,PROPN
23670,Chris,0,PROPN,PROPN
1005,America,0,PROPN,PROPN
2421,David,0,PROPN,PROPN
7316,Canada,0,PROPN,PROPN
19576,Kay,0,PROPN,PROPN
1638,Musharraf,0,PROPN,PROPN
2671,U.S.,0,PROPN,PROPN
2147,Thursday,0,PROPN,PROPN
5836,CIA,0,PROPN,PROPN
4674,North,0,PROPN,PROPN
6934,Vince,0,PROPN,PROPN
4762,London,0,PROPN,PROPN
12917,Europe,0,PROPN,PROPN
124,Vietnam,0,PROPN,PROPN
10364,Richard,0,PROPN,PROPN
35480,Carol,0,PROPN,PROPN
403,Washington,0,PROPN,PROPN
3374,LTTE,0,PROPN,PROPN
4582,York,0,PROPN,PROPN
22300,EB,0,PROPN,PROPN
5636,January,0,PROPN,PROPN
7478,Andaman,0,PROPN,PROPN
7512,August,0,PROPN,PROPN
14454,California,0,PROPN,PROPN
48,FBI,0,PROPN,PROPN
153,Wednesday,0,PROPN,PROPN
485,Saddam,0,PROPN,PROPN
2217,Bill,0,PROPN,PROPN
8565,Karzai,0,PROPN,PROPN
1697,October,0,PROPN,PROPN
2537,South,0,PROPN,PROPN
4026,Delhi,0,PROPN,PROPN
4882,Guard,0,PROPN,PROPN
23193,San,0,PROPN,PROPN
24322,Sunday,0,PROPN,PROPN
26998,Cargill,0,PROPN,PROPN
213,University,0,PROPN,PROPN
1236,Energy,0,PROPN,PROPN
1595,Laden,0,PROPN,PROPN
9460,Mohammed,0,PROPN,PROPN
13242,World,0,PROPN,PROPN
14359,Syria,0,PROPN,PROPN
16149,Paris,0,PROPN,PROPN
19928,Lopez,0,PROPN,PROPN
23266,ENA,0,PROPN,PROPN
2191,November,0,PROPN,PROPN
3337,Sri,0,PROPN,PROPN
3338,Lanka,0,PROPN,PROPN
3801,Japan,0,PROPN,PROPN
4478,Sept.,0,PROPN,PROPN
7199,Tuesday,0,PROPN,PROPN
11374,God,0,PROPN,PROPN
44405,Clair,0,PROPN,PROPN
45305,Kim,0,PROPN,PROPN
2686,Ireland,0,PROPN,PROPN
3605,Saturday,0,PROPN,PROPN
5238,Michael,0,PROPN,PROPN
5600,House,0,PROPN,PROPN
18786,Steve,0,PROPN,PROPN
19478,Ken,0,PROPN,PROPN
22097,Florida,0,PROPN,PROPN
416,have,1,VERB,VERB
457,get,1,VERB,VERB
523,know,1,VERB,VERB
357,had,1,VERB,VERB
621,do,1,VERB,VERB
629,go,1,VERB,VERB
355,said,1,VERB,VERB
3506,want,1,VERB,VERB
1023,see,1,VERB,VERB
2076,need,1,VERB,VERB
456,going,1,VERB,VERB
2339,think,1,VERB,VERB
895,make,1,VERB,VERB
494,take,1,VERB,VERB
181,has,1,VERB,VERB
4403,like,1,VERB,VERB
93,made,1,VERB,VERB
102,find,1,VERB,VERB
995,use,1,VERB,VERB
4953,let,1,VERB,VERB
1360,give,1,VERB,VERB
617,is,1,VERB,VERB
5254,work,1,VERB,VERB
1506,help,1,VERB,VERB
1578,say,1,VERB,VERB
2060,put,1,VERB,VERB
4099,used,1,VERB,VERB
5048,got,1,VERB,VERB
24,come,1,VERB,VERB
708,are,1,VERB,VERB
3332,feel,1,VERB,VERB
920,called,1,VERB,VERB
2113,keep,1,VERB,VERB
5878,looking,1,VERB,VERB
1488,doing,1,VERB,VERB
9153,try,1,VERB,VERB
15637,recommend,1,VERB,VERB
1485,done,1,VERB,VERB
3523,told,1,VERB,VERB
1431,found,1,VERB,VERB
722,took,1,VERB,VERB
3516,look,1,VERB,VERB
6277,call,1,VERB,VERB
2108,getting,1,VERB,VERB
1659,trying,1,VERB,VERB
2482,came,1,VERB,VERB
852,sent,1,VERB,VERB
7258,send,1,VERB,VERB
53,having,1,VERB,VERB
1181,believe,1,VERB,VERB
1709,went,1,VERB,VERB
5360,received,1,VERB,VERB
2177,Let,1,VERB,VERB
121,working,1,VERB,VERB
21859,attached,1,VERB,VERB
883,using,1,VERB,VERB
2219,says,1,VERB,VERB
4950,wanted,1,VERB,VERB
6891,read,1,VERB,VERB
7389,love,1,VERB,VERB
25314,Thank,1,VERB,VERB
1007,understand,1,VERB,VERB
1702,did,1,VERB,VERB
1750,hope,1,VERB,VERB
260,including,1,VERB,VERB
584,leave,1,VERB,VERB
1599,tell,1,VERB,VERB
6038,live,1,VERB,VERB
1151,following,1,VERB,VERB
562,become,1,VERB,VERB
2349,taking,1,VERB,VERB
258,left,1,VERB,VERB
9240,provide,1,VERB,VERB
10584,talk,1,VERB,VERB
14032,buy,1,VERB,VERB
33942,eat,1,VERB,VERB
1244,based,1,VERB,VERB
10962,discuss,1,VERB,VERB
588,start,1,VERB,VERB
2247,asked,1,VERB,VERB
6517,thought,1,VERB,VERB
4795,making,1,VERB,VERB
5153,meet,1,VERB,VERB
1108,was,1,VERB,VERB
10885,means,1,VERB,VERB
15118,pay,1,VERB,VERB
1535,add,1,VERB,VERB
21959,ask,1,VERB,VERB
1456,started,1,VERB,VERB
2180,remember,1,VERB,VERB
2881,gave,1,VERB,VERB
39,run,1,VERB,VERB
9130,change,1,VERB,VERB
94,show,1,VERB,VERB
1563,makes,1,VERB,VERB
3713,mean,1,VERB,VERB
7331,check,1,VERB,VERB
13024,include,1,VERB,VERB
4856,known,1,VERB,VERB
7116,comes,1,VERB,VERB
